image_path,grade
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2221.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3311.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2106.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1221.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\946.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1401.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\61.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\171.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\561.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\291.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3336.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2416.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1451.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1376.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\576.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1616.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2766.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2381.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1986.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\941.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1551.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1591.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\151.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2036.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\566.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2701.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\481.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1366.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2326.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2086.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3166.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3196.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\951.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\506.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\81.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\231.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1426.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1626.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1761.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1166.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2116.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1256.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1816.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2126.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\696.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2591.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\556.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1841.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2391.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2011.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\381.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2691.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1801.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1441.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\571.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3371.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\361.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1321.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1871.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2321.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1696.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1646.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\51.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1546.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\51.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\261.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\186.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2046.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1776.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1746.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1981.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1161.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1216.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\161.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\126.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\3101.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2376.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1956.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1736.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2576.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1911.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1976.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1266.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1766.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1586.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1901.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2611.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1056.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1016.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\341.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1446.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2271.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1481.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\3106.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\926.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1816.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3186.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1106.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\561.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\11.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2011.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\601.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1836.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\306.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\706.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\526.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\3076.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\911.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\301.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\716.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3246.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2211.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1301.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2451.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1341.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1176.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1346.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1501.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1476.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2256.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1811.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\916.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1646.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2131.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3541.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1486.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2686.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\481.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\446.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\796.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1391.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\16.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\311.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1296.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2076.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\511.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1371.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2386.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\16.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\731.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1456.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1646.bmp,3
