video_id,label,split,video_path,frames_dir,status,source_fps,target_fps,frame_interval,total_source_frames,frames_saved,resolution
18,paralysed,train,palsynet_frames/raw_videos/paralysed/18.mp4,palsynet_frames/frames/train/paralysed/18,ok,30.0,6.0,5,3634,727,300x300
15,paralysed,train,palsynet_frames/raw_videos/paralysed/15.mp4,palsynet_frames/frames/train/paralysed/15,ok,30.0,6.0,5,4168,834,300x300
4,paralysed,train,palsynet_frames/raw_videos/paralysed/4.mp4,palsynet_frames/frames/train/paralysed/4,ok,30.0,6.0,5,9000,1800,300x300
10,paralysed,train,palsynet_frames/raw_videos/paralysed/10.mp4,palsynet_frames/frames/train/paralysed/10,ok,30.0,6.0,5,3792,759,300x300
9,paralysed,train,palsynet_frames/raw_videos/paralysed/9.mp4,palsynet_frames/frames/train/paralysed/9,ok,30.0,6.0,5,3705,741,300x300
20,paralysed,train,palsynet_frames/raw_videos/paralysed/20.mp4,palsynet_frames/frames/train/paralysed/20,ok,30.0,6.0,5,3612,723,300x300
12,paralysed,train,palsynet_frames/raw_videos/paralysed/12.mp4,palsynet_frames/frames/train/paralysed/12,ok,30.0,6.0,5,2655,531,300x300
11,paralysed,train,palsynet_frames/raw_videos/paralysed/11.mp4,palsynet_frames/frames/train/paralysed/11,ok,30.0,6.0,5,3697,740,300x300
8,paralysed,val,palsynet_frames/raw_videos/paralysed/8.mp4,palsynet_frames/frames/val/paralysed/8,ok,30.0,6.0,5,3809,762,300x300
19,paralysed,val,palsynet_frames/raw_videos/paralysed/19.mp4,palsynet_frames/frames/val/paralysed/19,ok,30.0,6.0,5,3692,739,300x300
21,paralysed,val,palsynet_frames/raw_videos/paralysed/21.mp4,palsynet_frames/frames/val/paralysed/21,ok,30.0,6.0,5,1800,360,300x300
14,paralysed,test,palsynet_frames/raw_videos/paralysed/14.mp4,palsynet_frames/frames/test/paralysed/14,ok,30.0,6.0,5,3247,650,300x300
1,paralysed,test,palsynet_frames/raw_videos/paralysed/1.mp4,palsynet_frames/frames/test/paralysed/1,ok,30.0,6.0,5,9000,1800,300x300
17,paralysed,test,palsynet_frames/raw_videos/paralysed/17.mp4,palsynet_frames/frames/test/paralysed/17,ok,30.0,6.0,5,6028,1206,300x300
6,paralysed,test,palsynet_frames/raw_videos/paralysed/6.mp4,palsynet_frames/frames/test/paralysed/6,ok,30.0,6.0,5,3623,725,300x300
